Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"50.0826,8.2493","07/28/2021 13:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",227.2,21.6,20.2,83.0,,57.1,0.1,1013.0,0.0,0.0,71.5,43.2,,"Rain, Overcast"
"50.0826,8.2493","07/28/2021 14:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",229.7,21.7,21.6,75.0,,57.1,0.1,1012.0,0.0,0.0,64.5,45.7,,"Rain, Partially cloudy"
"50.0826,8.2493","07/28/2021 15:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",227.1,22.5,20.5,73.0,,28.6,0.0,1012.0,0.0,0.0,60.2,46.4,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 16:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",234.3,23.4,17.3,60.0,,28.6,0.0,1012.0,0.0,0.0,57.0,46.4,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 17:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",239.0,23.8,18.7,61.0,,28.6,0.0,1012.0,0.0,0.0,61.7,36.4,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 18:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",236.9,23.5,18.4,53.0,,28.6,0.0,1012.0,0.0,0.0,59.0,37.1,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 19:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",241.5,23.1,18.7,56.0,,28.6,0.0,1012.0,0.0,0.0,66.4,36.4,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 20:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",240.6,22.2,16.2,39.0,,28.6,0.0,1013.0,0.0,0.0,72.5,34.6,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 21:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",241.8,20.6,11.5,50.0,,9.5,0.0,1013.0,0.0,0.0,77.3,28.8,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 22:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",223.2,19.1,7.9,49.0,,9.5,0.0,1013.0,0.0,0.0,83.0,22.0,,"Partially cloudy"
"50.0826,8.2493","07/28/2021 23:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",218.7,17.8,6.8,32.0,,9.5,0.0,1013.0,0.0,0.0,88.5,10.8,,"Partially cloudy"
"50.0826,8.2493","07/29/2021 00:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",225.0,16.8,6.1,25.0,,9.5,0.0,1013.0,0.0,0.0,90.9,8.3,,"Clear"
"50.0826,8.2493","07/29/2021 01:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",219.8,16.0,5.8,3.0,,9.5,0.0,1013.0,0.0,0.0,90.0,7.6,,"Clear"
"50.0826,8.2493","07/29/2021 02:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",218.2,15.5,6.5,15.0,,9.5,0.0,1013.0,0.0,0.0,87.9,8.3,,"Clear"
"50.0826,8.2493","07/29/2021 03:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",222.7,15.1,6.5,16.0,,0.0,0.0,1013.0,0.0,0.0,87.4,6.8,,"Clear"
"50.0826,8.2493","07/29/2021 04:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",235.3,14.7,5.8,0.0,,0.0,0.0,1013.0,0.0,0.0,89.5,7.2,,"Clear"
"50.0826,8.2493","07/29/2021 05:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",235.3,14.3,5.8,25.0,,0.0,0.0,1013.0,0.0,0.0,93.5,8.3,,"Clear"
"50.0826,8.2493","07/29/2021 06:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",239.7,14.4,5.0,55.0,,0.0,0.0,1013.0,0.0,0.0,90.8,7.9,,"Partially cloudy"
"50.0826,8.2493","07/29/2021 07:00:00",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493",230.2,15.1,5.8,55.0,,0.0,0.0,1013.0,0.0,0.0,89.4,7.2,,"Partially cloudy"
