Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"50.0826,8.2493","09/02/2021 00:00:00",13.5,13.5,13.5,9.9,78.89,,6.1,,338.0,,0.0,,,12.9,0.0,1027.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 01:00:00",12.7,12.7,12.7,9.4,80.36,,1.1,,10.0,,0.0,,,12.8,0.0,1027.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 02:00:00",11.8,11.8,11.8,9.2,84.0,,6.2,,346.0,,0.0,,,13.0,0.0,1026.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 03:00:00",12.7,12.7,12.7,9.2,79.48,,1.0,,13.0,,0.0,,,12.8,0.0,1026.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 04:00:00",12.4,12.4,12.4,9.2,80.65,,5.8,,16.0,,0.0,,,12.6,0.0,1026.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 05:00:00",11.7,11.7,11.7,9.1,83.83,,6.1,,354.0,,0.0,,,12.2,0.6,1026.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 06:00:00",9.9,9.9,9.9,8.4,89.96,,5.8,,339.0,9.5,0.0,,,12.1,0.6,1026.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 07:00:00",9.6,9.6,9.6,8.3,92.04,,0.9,,14.0,,0.0,,,12.0,0.6,1026.5,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 08:00:00",11.7,11.7,11.7,9.4,85.62,,2.0,,84.0,,0.0,,,11.9,0.0,1026.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 09:00:00",15.4,15.4,15.4,10.8,73.88,,1.1,,14.0,,0.0,,,12.3,0.6,1026.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 10:00:00",17.5,17.5,17.5,11.2,66.6,,17.9,,80.0,,0.0,,,11.7,0.7,1026.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 11:00:00",18.8,18.8,18.8,11.9,64.13,,18.0,,100.0,,0.0,,,11.7,0.7,1026.8,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 12:00:00",20.3,20.3,20.3,11.9,58.27,,13.1,,73.0,,0.0,,,12.0,1.2,1026.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 13:00:00",21.3,21.3,21.3,11.2,52.51,,20.2,,84.0,,0.0,,,11.5,0.0,1026.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 14:00:00",22.2,22.2,22.2,11.3,50.11,,25.6,,43.0,,0.0,,,13.2,12.0,1025.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 15:00:00",22.2,22.2,22.2,11.1,49.54,,18.0,,63.0,,0.0,,,10.5,12.1,1025.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 16:00:00",23.3,23.3,23.3,11.0,46.15,,21.4,,98.0,,0.0,,,11.9,0.6,1025.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 17:00:00",22.7,22.7,22.7,10.7,46.48,,11.4,,71.0,,0.0,,,10.0,1.2,1024.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 18:00:00",22.5,22.5,22.5,11.0,48.2,,16.2,,72.0,,0.0,,,11.5,0.6,1024.1,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 19:00:00",21.7,21.7,21.7,11.1,50.97,,16.1,,73.0,,0.0,,,11.8,0.6,1023.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 20:00:00",19.2,19.2,19.2,11.4,60.68,,9.4,,73.0,,0.0,,,11.8,0.6,1023.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 21:00:00",17.7,17.7,17.7,11.4,66.41,,6.1,,17.0,,0.0,,,13.2,0.0,1023.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 22:00:00",16.6,16.6,16.6,11.3,70.98,,6.0,,26.0,,0.0,,,13.1,0.0,1023.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/02/2021 23:00:00",16.2,16.2,16.2,11.2,71.94,,2.1,,84.0,,0.0,,,13.0,0.0,1023.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 00:00:00",16.0,16.0,16.0,11.1,72.74,,6.1,,26.0,,0.0,,,12.8,0.0,1023.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 01:00:00",15.1,15.1,15.1,11.0,76.4,,1.2,,15.0,,0.0,,,12.8,0.0,1023.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 02:00:00",15.4,15.4,15.4,10.9,74.56,,10.2,,57.0,,0.0,,,12.8,0.0,1022.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 03:00:00",15.0,15.0,15.0,10.9,76.61,,11.3,,62.0,,0.0,,,12.9,0.0,1022.4,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 04:00:00",14.7,14.7,14.7,10.9,77.83,,0.9,,14.0,,0.0,,,12.7,0.0,1022.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 05:00:00",13.9,13.9,13.9,10.7,81.06,,0.9,,89.0,,0.0,,,13.0,0.0,1022.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 06:00:00",14.4,14.4,14.4,10.8,79.29,,1.1,,17.0,,0.0,,,12.7,0.0,1021.6,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 07:00:00",11.8,11.8,11.8,10.0,88.52,,1.0,,18.0,,0.0,,,11.3,0.0,1021.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 08:00:00",13.8,13.8,13.8,11.0,83.33,,1.6,,89.0,,0.0,,,12.8,0.0,1022.0,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 09:00:00",17.4,17.4,17.4,11.7,69.53,,1.1,,16.0,,0.0,,,11.5,0.0,1021.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 10:00:00",18.9,18.9,18.9,11.9,63.95,,12.8,,71.0,,0.0,,,12.5,0.0,1021.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 11:00:00",20.1,20.1,20.1,11.8,58.97,,12.5,,93.0,,0.0,,,11.8,0.0,1021.7,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 12:00:00",21.7,21.7,21.7,11.9,53.68,,12.7,,74.0,,0.0,,,13.6,0.6,1021.3,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 13:00:00",22.8,22.8,22.8,10.8,46.68,,12.7,,83.0,,0.0,,,12.0,0.6,1020.9,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
"50.0826,8.2493","09/03/2021 14:00:00",24.2,24.2,24.2,10.2,41.2,,11.3,,97.0,,0.0,,,13.2,0.6,1020.2,"",50.0826,8.2493,"50.0826,8.2493","50.0826,8.2493","","Clear"
